keywords,ID,url,title,id,ENTRYTYPE,author,booktitle,doi,month,publisher,volume,year,issn,journal,number,isbn,pages,collection,series,editor,ISSN,ISBN
"defines:NS, use:quality",Hilasaca_2019,http://dx.doi.org/10.1109/iv.2019.00046,User-guided Dimensionality Reduction Ensembles,Hilasaca_2019,inproceedings,"Hilasaca, Gladys M. and Paulovich, Fernando V.",2019 23rd International Conference Information Visualisation (IV),10.1109/iv.2019.00046,"jul, pages",IEEE,290,2019,,,,,,,,,,
"defines:other, use:quality",Maciel_Peixoto_2019,http://dx.doi.org/10.1109/bracis.2019.00036,Multidimensional Projections Analysis Using Performance Evaluation Planning,Maciel_Peixoto_2019,inproceedings,"Maciel Peixoto, Maycon Leone and Roseira Pinheiro, Erick and Trindade de Araujo Tiburtino Neves, Tacito and Barbosa Coimbra, Danilo",2019 8th Brazilian Conference on Intelligent Systems (BRACIS),10.1109/bracis.2019.00036,"oct, pages",IEEE,,2019,,,,,,,,,,
"defines:NS,use:quality",Marc_lio_Jr_2019,http://dx.doi.org/10.1177/1473871619845093,Evaluation of approaches proposed to avoid overlap of markers in visualizations based on multidimensional projection techniques,Marc_lio_Jr_2019,article,"Marcílio-Jr, Wilson E and Eler, Danilo M and Garcia, Rogério E and Venturini Pola, Ives R",,10.1177/1473871619845093,"may, pages",SAGE Publications,18,2019,1473-8724,Information Visualization,4,,,,,,,
"defines:NS, correction-in-text, use:optimization",Brandes_2019,http://dx.doi.org/10.1007/978-3-030-26814-5_2,Network Visualization,Brandes_2019,inbook,"Brandes, Ulrik and Sedlmair, Michael",Network Science,10.1007/978-3-030-26814-5_2,,Springer International Publishing,,2019,,,,9783030268145,5–21,,,,,
"defines:ns, defines:other, uses:optimization, correction-in-text",Das_2019,http://dx.doi.org/10.1007/978-3-030-19823-7_35,An Unsupervised Fuzzy Rule-Based Method for Structure Preserving Dimensionality Reduction with Prediction Ability,Das_2019,inbook,"Das, Suchismita and Pal, Nikhil R.",Artificial Intelligence Applications and Innovations,10.1007/978-3-030-19823-7_35,,Springer International Publishing,,2019,1868-422X,,,9783030198237,413–424,,,,,
"defines:ns, uses:optimization, defines:other, has-implementation, has-graphs",Devkota_2019,http://dx.doi.org/10.1007/978-3-030-35802-0_23,Stress-Plus-X (SPX) Graph Layout,Devkota_2019,inbook,"Devkota, Sabin and Ahmed, Reyan and De Luca, Felice and Isaacs, Katherine E. and Kobourov, Stephen",Graph Drawing and Network Visualization,10.1007/978-3-030-35802-0_23,,Springer International Publishing,,2019,1611-3349,,,9783030358020,291–304,,,,,
defines:other,Blouvshtein_2019,http://dx.doi.org/10.1109/tpami.2018.2851513,Outlier Detection for Robust Multi-Dimensional Scaling,Blouvshtein_2019,article,"Blouvshtein, Leonid and Cohen-Or, Daniel",,10.1109/tpami.2018.2851513,"sep, pages",Institute of Electrical and Electronics Engineers (IEEE),41,2019,1939-3539,IEEE Transactions on Pattern Analysis and Machine Intelligence,9,,,,,,,
"use:quality, has:tables, defines:other, has:implementation, has-implementation",Ruz_2019,http://dx.doi.org/10.3390/s19132866,Simulation Tool for the Analysis of Cooperative Localization Algorithms for Wireless Sensor Networks,Ruz_2019,article,"Ruz, Mario and Garrido, Juan and Jiménez, Jorge and Virrankoski, Reino and Vázquez, Francisco",,10.3390/s19132866,"jun, pages",MDPI AG,19,2019,1424-8220,Sensors,13,,,,,,,
defines:NS,Sheng_2019,http://dx.doi.org/10.1109/ispa-bdcloud-sustaincom-socialcom48970.2019.00156,Research on Dynamic Graph Layout by Parallel Computing and Markov Process,Sheng_2019,inproceedings,"Sheng, Shiying and Wu, Chunyuan and Dong, Xiaoju and Chen, Shengtao","2019 IEEE Intl Conf on Parallel &amp; Distributed Processing with Applications, Big Data &amp; Cloud Computing, Sustainable Computing &amp; Communications, Social Computing &amp; Networking (ISPA/BDCloud/SocialCom/SustainCom)",10.1109/ispa-bdcloud-sustaincom-socialcom48970.2019.00156,"dec, pages",IEEE,31,2019,,,,,,,,,,
"defines:other, use:optimization, has-implementation",Zhan_2019,http://dx.doi.org/10.1109/access.2019.2953086,IES-Backbone: An Interactive Edge Selection Based Backbone Method for Small World Network Visualization,Zhan_2019,article,"Zhan, Cheng and Zhang, Daobing and Wang, Yang and Lin, Daoyu and Wang, Hui",,10.1109/access.2019.2953086,,Institute of Electrical and Electronics Engineers (IEEE),7,2019,2169-3536,IEEE Access,,,166415–166427,,,,,
